sample_#,Site,Sub_Site,tin_mass,tin_wet_soil,tin_dry_soil,ProportionDrySoil,mi_g,mi_dry_g,mf_g,mf_dry_g,ph_mass,cation_tin,MicrobialBiomass_Initial_Nitrate,Nitrogen_Percent,Carbon_Percent,TOC_MIB,MicromolCO2_hr_g dry soil,MicromolCO2_hr_g soil C,DryMg_ppm,DryK_ppm,DryNa_ppm,BaseCatSum_ppm,avgpH,DryCa_ppm,CECapprox,BaseSatApprox,BaseSatMeasured,Acer_pensylvanicum,Acer_platanoides,Acer_rubrum,Acer_saccharum,Betula_alleghaniensis,Betula_lenta,Betula_papyrifera,Carpinus_caroliniana,Fagus_grandifolia,Fraxinius_americana,Fraxinus_pennsylvanica,Ostrya_virginiana,Populus_tremuloides,Prunus_serotina,Quercus_rubrum,Ulmus_americana,Unknown,ResinNitrate_ugNo3_mL,ResinAmmonium_ugNH4_mL,Nitrate_Initial,Nitrate_Final,Nitrification,Ammonium_Initial,Ammonium_Final,Q10,R20,data.Plot,Biomass,BA,Biomass_Pi,BA_Pi,SoilMoisture_Mean,asymp.k,A,AvgSM_DBH,dAIC_A,dAIC_S,MacroFraction,MicroFraction,S+CFraction,FineRootFraction,SM_prop,,MicroFraction,avgpH,DryCa_ppm,A,Carbon_Percent
1,Lower,LowerA,1.27,10.88,8.6,0.762747138,8.83,6.735057232,9.15,6.979136313,10.5,12.32,40.68460664,0.222097993,2.856096029,0.339438894,0.140566711,72.26383368,82.67831978,189.1413478,144.3092621,912.7494997,4.70666667,496.62057,31.8044982,0.134713593,0.051143656,0,0,0.066666667,0.133333333,0,0.2,0.066666667,0.133333333,0.133333333,0,0,0.133333333,0,0,0.133333333,0,0,0.874194766,10.21191098,,,,,,1.4821902,4.046814,1,2247.527715,2532.253,0.267159783,0.268363579,35.2,2.520791539,0.471442009,38.1,0,,0.753600925,0.121136439,0.047076313,0.002582756,0.13333333,,0.121136439,4.70666667,496.62057,0.471442009,2.856096029
2,Lower,LowerA,1.29,11.18,9.02,0.781597573,8.59,6.713923155,8.49,6.635763395,10.92,12.03,42.60778318,0.260153115,3.304388285,0.24570278,0.060294798,28.19542473,35.68890535,186.4236969,110.7058325,736.4025643,4.85666667,403.5841295,28.99466734,0.112940333,0.02392958,0,0,0.1,0,0.2,0,0,0.3,0.1,0.1,0,0.2,0,0,0,0,0,0.721475351,6.565927304,,,,,,2.2252457,3.637478,2,0,0,0,0,31.45,1.179789342,0.641084904,,0,,0.622590628,0.151886236,0.086280578,0.001626221,0.18181818,,0.151886236,4.85666667,403.5841295,0.641084904,3.304388285
3,Lower,LowerA,1.27,9.88,6.99,0.664343786,9.66,6.417560976,8.47,5.626991867,7.71,12.31,80.63901893,0.334812403,4.317772388,0.447331843,0.038375917,12.06313717,37.14061087,207.1625181,287.005522,1020.385544,5.24333333,489.0768927,25.61392563,0.17701018,0.017518973,0,0,0.3,0,0,0,0,0.1,0.2,0,0,0.2,0.1,0,0,0.1,0,1.033671678,7.260400384,,,,,,2.3480199,6.966224,3,0,0,0,0,30.3375,0.462593477,0.362458161,,1.85002535,,0.705585242,0.128517812,0.058390585,0.002289628,0.2,,0.128517812,5.24333333,489.0768927,0.362458161,4.317772388
4,Lower,LowerA,1.27,9.67,7.18,0.703571429,8.36,5.881857143,8.27,5.818535718,8.51,13.22,46.7462449,0.371695548,5.625826359,0.328511581,0.040649596,10.3249517,83.40652932,229.2597236,357.5532789,1668.562067,5.3,998.3425356,28.22919201,0.277343822,0.07913654,0,0,0.2,0,0,0,0.1,0.3,0.2,0,0,0.2,0,0,0,0,0,0.973304711,5.950371619,1.318009105,2.455141407,1.137132302,47.56583469,55.60378246,1.7229654,4.028456,4,0,0,0,0,28.5125,1.539747462,0.846521405,,0,,0.636551041,0.167859267,0.053145028,0.0014062,0.2,,0.167859267,5.3,998.3425356,0.846521405,5.625826359
5,Lower,LowerA,1.27,10.35,8.02,0.74339207,8.68,6.452643172,8.31,6.177588102,10.09,12.08,46.43432629,0.351182073,5.343995094,0.477996351,0.034082995,9.539324007,132.0916676,241.1275531,251.8489839,2094.574267,5.38666667,1469.506062,29.52156553,0.344208222,0.083622874,0,0,0.307692308,0.384615385,0,0,0,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0.076923077,0,0.979161208,7.16569951,3.076880156,10.37387261,7.296992458,42.84829902,33.70959115,1.6682623,4.010415,5,1129.293509,1650.855,0.111380029,0.155550674,32.23333,1.0942742,0.734870812,18.6,0,,0.752170435,0.131841159,0.03156058,0.002842858,0.15384615,,0.131841159,5.38666667,1469.506062,0.734870812,5.343995094
6,Lower,LowerA,1.26,10.27,7.89,0.735849057,8.49,6.247358491,7.93,5.835283022,8.26,14.11,41.23817407,0.38183108,5.636248589,0.396200189,0.022959071,6.192745312,157.1391737,187.5510895,97.21722219,1818.21435,5.64,1376.306864,25.41461124,0.357849709,0.052566115,0,0,0.272727273,0.545454545,0,0,0,0,0,0.090909091,0,0,0,0,0.090909091,0,0,0.023200737,9.406953541,26.27083802,27.8457796,1.574941579,36.59598239,46.2091371,1.356906,6.98905,6,598.4541339,1044.8036,0.087312371,0.13598514,26.8,2.751973588,0.873415176,14.3,0,,0.800557994,0.109028213,0.027241379,0.000882656,0.18181818,,0.109028213,5.64,1376.306864,0.873415176,5.636248589
7,Lower,LowerA,1.27,13.13,9.7,0.71079258,8.39,5.963549747,8.16,5.800067453,10.33,13.1,43.2323002,0.361290395,4.723690987,0.328425297,0.050782473,15.44335197,143.8378535,180.9197827,106.3216671,2085.091445,5.96333333,1654.012142,22.83487452,0.455219251,0.080602394,0,0,0.25,0.416666667,0,0,0,0,0.083333333,0.083333333,0,0.083333333,0,0.083333333,0,0,0,0.764723327,8.680913503,,,,,,1.3887714,3.746054,7,208.9183542,423.21705,0.070571327,0.097909349,40.6875,2.753738169,0.828048684,9.86,0,,0.771639392,0.132597896,0.025920514,0.00130305,0.16666667,,0.132597896,5.96333333,1654.012142,0.828048684,4.723690987
8,Lower,LowerA,1.26,9.8,7.55,0.736533958,8.55,6.29736534,8.52,6.275269322,8.49,13.2,43.30302072,0.412316144,6.065692902,0.298712341,0.023192416,5.657678742,62.41224891,199.3942125,85.46615418,936.0120468,5.20333333,588.7394312,25.90665846,0.167781515,0.023382959,0,0,0.333333333,0,0,0,0.111111111,0.111111111,0,0,0,0.222222222,0.111111111,0,0.111111111,0,0,0.968349214,5.997722057,27.19877959,26.56681913,-0.631960465,31.20923512,58.22482959,1.5365373,4.047009,8,0,0,0,0,33.575,1.176474774,0.813541724,,0,,0.727843866,0.11641095,0.031449814,0.001265557,0.22222222,,0.11641095,5.20333333,588.7394312,0.813541724,6.065692902
9,Lower,LowerA,1.3,9.64,8.02,0.805755396,8.64,6.961726619,10.02,8.073669068,8.64,13.24,38.46728532,0.218266755,3.817493439,0.160648954,0.028441418,11.85013548,79.89828155,162.4359989,90.54907546,852.3336282,5.21666667,519.4502723,25.47326453,0.159903516,0.022488924,0,0,0.25,0,0,0.5,0,0.125,0,0,0,0,0,0,0.125,0,0,0.764272827,7.544503008,,,,,,1.2612667,5.487063,9,0,0,0,0,29.4875,0.66293237,0.427794795,,0,,0.717681555,0.120272758,0.063368565,0.003782122,0.25,,0.120272758,5.21666667,519.4502723,0.427794795,3.817493439
10,Lower,LowerA,1.28,8.85,6.14,0.642007926,8.5,5.457067371,9.79,6.285257596,9,13.7,56.42408719,0.347051352,6.044190884,0.26365292,0.040985273,8.968034525,149.671671,196.4279516,87.4260732,2098.600783,6.21333333,1665.075087,19.89641418,0.525542645,0.117848861,0,0,0,0.2,0,0,0,0.4,0,0,0,0.2,0,0,0.2,0,0,0.691742367,16.57265305,18.98611131,28.1683923,9.182280998,11.93822616,3.534984838,1.713942,4.682683,10,147.7126814,248.7194,0.176835551,0.183100057,42.5625,3.703352217,0.891820656,17.8,0,,0.791456954,0.094882601,0.040228778,0.001384548,0.4,,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884
