,X,Plot,R,Slope,SoilTemp_C,SoilMoisture_Percent,DOY,Site,Fungi
1,1,1,0.997067586,5.410882067,11.7,21.3,166,Lower,FALSE
2,2,2,0.998601116,5.50857021,11.2,29.2,166,Lower,FALSE
3,3,3,0.999219305,12.44702784,11.1,37.5,166,Lower,FALSE
4,4,4,0.998939641,10.15649525,11.1,16.9,166,Lower,FALSE
5,5,5,0.99838623,7.467866189,10.9,27.7,166,Lower,FALSE
6,6,6,0.999634193,13.17502664,11.5,32.8,166,Lower,FALSE
7,7,7,0.997186036,6.904033595,11.9,38,166,Lower,FALSE
8,8,8,0.998699103,7.302708115,11.8,29.5,166,Lower,FALSE
9,9,9,0.998696927,9.117746445,12,21.1,166,Lower,FALSE
10,10,10,0.99918794,11.29307512,12.1,46.8,166,Lower,FALSE
11,11,11,0.998661176,9.226770337,12.1,42.1,166,Lower,FALSE
12,12,12,0.997394158,6.808433762,11.7,36.2,166,Lower,FALSE
13,13,13,0.999752227,9.867671828,11.8,20,166,Lower,FALSE
14,14,14,0.999080551,7.937187046,11.6,46.2,166,Lower,FALSE
39,15,15,0.99026501,2.63961499,11,13.8,167,Lower,FALSE
40,16,16,0.973952817,1.947217954,11,21.4,167,Lower,FALSE
41,17,17,0.99817686,7.035389553,11.8,25.1,167,Lower,FALSE
42,18,18,0.993172138,2.740921549,11.2,33,167,Lower,FALSE
43,19,19,0.997568769,5.004608779,11.3,22.1,167,Lower,FALSE
44,20,20,0.996419094,3.616503576,11.5,27.9,167,Lower,FALSE
45,21,21,0.997363841,5.228232951,11.2,28.3,167,Lower,FALSE
46,22,22,0.997504264,5.323882016,11.3,24.3,167,Lower,FALSE
47,23,23,0.995268297,3.979591751,11.1,15.5,167,Lower,FALSE
48,24,24,0.997766492,4.463760621,11.1,41.2,167,Lower,FALSE
49,1,25,0.997784464,5.206573795,8.4,16.6,168,Upper,FALSE
50,2,26,0.994514321,4.588375795,9.5,21,168,Upper,FALSE
51,3,27,0.995026064,4.115898792,9.3,29.1,168,Upper,FALSE
52,4,28,0.996477102,4.667072797,10,14.5,168,Upper,FALSE
53,5,29,0.997829525,5.204098591,10.3,28.9,168,Upper,FALSE
54,6,30,0.998851702,7.77643815,9.2,23.4,168,Upper,FALSE
55,7,31,0.925973703,1.003242771,9.7,18.1,168,Upper,FALSE
56,8,32,0.998581291,7.619674232,9.9,22.7,168,Upper,FALSE
57,9,33,0.99762296,4.555903969,10,26.7,168,Upper,FALSE
58,10,34,0.996465863,5.109977497,9.6,13.2,168,Upper,FALSE
83,11,35,0.980467861,1.73127094,9.5,24.9,174,Upper,FALSE
84,12,36,0.998528117,5.769215755,9.2,18,174,Upper,FALSE
85,13,37,0.997156198,4.861291414,9.7,34.1,174,Upper,FALSE
86,14,38,0.996425698,3.960312496,9.7,39.1,174,Upper,FALSE
87,15,39,0.99689477,4.75928803,9.7,28.6,174,Upper,FALSE
88,16,40,0.997790009,5.880113923,9.8,21.4,174,Upper,FALSE
89,17,41,0.998354101,10.12561005,9.5,26.6,174,Upper,FALSE
90,18,42,0.997626029,7.298359066,9.4,20.1,174,Upper,FALSE
91,19,43,0.998574709,8.970235847,9.5,28.8,174,Upper,FALSE
92,20,44,0.996823819,8.818417913,9.5,21.4,174,Upper,FALSE
93,21,45,0.999028298,6.891286547,10.6,18.4,174,Upper,FALSE
94,22,46,0.997915936,9.553060886,10,34.7,174,Upper,FALSE
95,23,47,0.998384485,7.195592526,9.4,39.1,174,Upper,FALSE
96,24,48,0.997072267,8.792619162,10.3,30.6,174,Upper,FALSE
97,1,1,0.993082134,3.012747199,13.1,36.1,183,Lower,FALSE
98,2,2,0.994109555,3.124763516,12.8,37.1,183,Lower,FALSE
99,3,3,0.998618431,6.236722961,12.9,35.8,183,Lower,FALSE
100,4,4,0.993207727,2.998497943,12.9,25.2,183,Lower,FALSE
101,5,5,0.996092252,3.85246897,12.8,37.2,183,Lower,FALSE
102,6,6,0.997689724,6.35641936,13.1,35.9,183,Lower,FALSE
103,7,7,0.988729047,2.154235403,13.2,34,183,Lower,FALSE
104,8,8,0.999063316,28.15032524,12.8,40.1,183,Lower,TRUE
106,10,10,0.993566597,3.323079319,13.3,48.3,183,Lower,FALSE
121,1,25,0.99244016,3.635161066,10.2,29.4,186,Upper,FALSE
122,2,26,0.998515909,5.611961058,11.6,25.4,186,Upper,FALSE
123,3,27,0.982648012,3.212399669,10.6,20.9,186,Upper,FALSE
124,4,28,0.979805709,2.911245484,10.4,26,186,Upper,FALSE
125,5,29,0.99888577,12.38256183,10.4,21.7,186,Upper,FALSE
126,6,30,0.994636288,4.292669913,10.5,15,186,Upper,FALSE
127,7,31,0.991768533,3.247104194,10.3,17.4,186,Upper,FALSE
128,8,32,0.99565865,4.11891497,10.5,19.5,186,Upper,FALSE
129,9,33,0.991487027,2.990219908,9.9,31.8,186,Upper,FALSE
130,10,34,0.993116431,2.72933451,11.4,18.7,186,Upper,FALSE
131,11,35,0.979915389,2.139093981,10.7,21.7,186,Upper,FALSE
132,12,36,0.993358484,3.922879719,10.5,31.6,186,Upper,FALSE
133,13,37,0.995632022,3.998913662,10.3,30.7,186,Upper,FALSE
134,14,38,0.970977124,2.10428115,10.5,41.1,186,Upper,FALSE
135,15,39,0.992537555,2.835615985,10.6,41.4,186,Upper,FALSE
136,16,40,0.996326989,4.293889918,11.4,26.5,186,Upper,FALSE
137,17,41,0.996470405,5.989715888,12.6,25.7,186,Upper,FALSE
138,18,42,0.99566899,4.199577244,11.4,20.5,186,Upper,FALSE
140,20,44,0.997301139,6.427192966,11.6,23.5,186,Upper,FALSE
141,21,45,0.997543806,5.237107025,11.4,21.9,186,Upper,FALSE
142,22,46,0.996397793,7.905423798,11.2,25.4,186,Upper,FALSE
143,23,47,0.99356074,4.839550732,11.5,26.7,186,Upper,FALSE
144,24,48,0.996509125,5.804837088,10.9,31.8,186,Upper,FALSE
145,1,1,0.995625745,3.603600541,15.55555556,42.1,194,Lower,FALSE
146,2,2,0.992711235,3.015858819,15,38.7,194,Lower,FALSE
147,3,3,0.998846067,7.267014149,15,37.6,194,Lower,FALSE
148,4,4,0.986217785,2.397764508,15.55555556,44.6,194,Lower,FALSE
149,5,5,0.993600885,3.417444075,15,31.9,194,Lower,FALSE
151,7,7,0.934164113,1.331535785,16.66666667,49.1,194,Lower,FALSE
152,8,8,0.994122919,3.204813096,15,43.9,194,Lower,FALSE
153,9,9,0.997916391,5.103284738,15.55555556,34.5,194,Lower,FALSE
155,11,11,0.856607719,0.507593828,15,51.4,194,Lower,FALSE
156,12,12,0.929579046,1.037181499,15,53.7,194,Lower,FALSE
157,13,13,0.994772056,3.864168123,14.44444444,43,194,Lower,FALSE
158,14,14,0.97599748,1.464952685,16.11111111,57.7,194,Lower,FALSE
159,15,15,0.984838184,2.707773939,15.55555556,55.2,194,Lower,FALSE
160,16,16,0.753455296,0.395151875,15,56.3,194,Lower,FALSE
161,17,17,0.992090411,4.352800093,15,32.6,194,Lower,FALSE
162,18,18,0.983366601,2.458507497,15.55555556,47.4,194,Lower,FALSE
163,19,19,0.994933534,3.626246688,15,36.1,194,Lower,FALSE
164,20,20,0.987633027,2.21501164,15,35.1,194,Lower,FALSE
165,21,21,0.995898198,5.007750304,15,31.1,194,Lower,FALSE
166,22,22,0.993886966,3.033352762,16.11111111,27.8,194,Lower,FALSE
167,23,23,0.994744173,3.534767238,15.55555556,35.5,194,Lower,FALSE
169,1,25,0.993727892,3.853701822,15,25.2,196,Upper,FALSE
170,2,26,0.996057585,5.642239973,13.88888889,42.7,196,Upper,FALSE
171,3,27,0.995612542,4.007404687,14.44444444,28.6,196,Upper,FALSE
172,4,28,0.995119739,3.493133255,14.44444444,38.3,196,Upper,FALSE
173,5,29,0.996222655,4.195122866,13.33333333,30.5,196,Upper,FALSE
174,6,30,0.997358001,4.204274026,14.44444444,42.1,196,Upper,FALSE
175,7,31,0.995721046,3.456952928,13.88888889,35.5,196,Upper,FALSE
176,8,32,0.966345847,2.442513928,13.88888889,30.2,196,Upper,FALSE
177,9,33,0.966626043,1.394234101,13.88888889,47.6,196,Upper,FALSE
178,10,34,0.984202979,2.556078839,13.88888889,32.4,196,Upper,FALSE
179,11,35,0.983252217,2.581855519,14.44444444,41.3,196,Upper,FALSE
180,12,36,0.993715867,3.961918035,14.44444444,39.5,196,Upper,FALSE
181,13,37,0.991231823,2.78477276,13.33333333,48.2,196,Upper,FALSE
182,14,38,0.986647765,2.226777747,15,39.6,196,Upper,FALSE
183,15,39,0.990286905,2.878100106,15.55555556,37.8,196,Upper,FALSE
184,16,40,0.997810758,4.714514799,15.55555556,29.6,196,Upper,FALSE
185,17,41,0.99809725,6.719042017,16.66666667,28.3,196,Upper,FALSE
186,18,42,0.993990108,3.467820726,15,31.8,196,Upper,FALSE
187,19,43,0.997467568,4.393639265,17.22222222,36.8,196,Upper,FALSE
188,20,44,0.998469823,6.734999003,16.66666667,36.3,196,Upper,FALSE
189,21,45,0.997085905,5.067166445,17.22222222,31.1,196,Upper,FALSE
190,22,46,0.996488562,9.278303397,17.77777778,21.4,196,Upper,FALSE
191,23,47,0.997794598,5.488793286,17.22222222,23.4,196,Upper,FALSE
192,24,48,0.997615836,5.871518428,16.11111111,25.2,196,Upper,FALSE
